,customer lifetime value,income,monthly premium auto,months since last claim,months since policy inception,number of open complaints,number of policies,month,customer lifetime value_temp,income_temp,months since last claim_temp,months since policy inception_temp
0,4809.21696,48029,61,7.0,52,0.0,9,2,2755,48029.0,7.0,52.0
1,2228.525238,0,64,3.0,26,0.0,1,1,78,37657.38000875848,3.0,26.0
2,14947.9173,22139,100,34.0,31,0.0,2,2,7171,22139.0,34.0,31.0
3,22332.43946,49078,97,10.0,3,0.0,2,1,7660,49078.0,10.0,3.0
4,5035.035257,37405,63,8.0,99,3.0,4,2,3078,37405.0,8.0,99.0
5,4956.247235,87197,63,35.0,45,0.0,3,2,2970,87197.0,35.0,45.0
6,5989.773931,66839,154,33.0,24,0.0,1,1,4150,66839.0,33.0,24.0
7,17114.32815,70961,85,19.0,8,0.0,2,1,7375,70961.0,19.0,8.0
8,5154.764074,82730,127,13.0,31,0.0,1,1,3234,82730.0,13.0,31.0
9,19955.25713,69096,99,24.0,32,0.0,2,1,7533,69096.0,24.0,32.0
10,5454.587929,66334,69,25.0,25,0.0,4,1,3642,66334.0,25.0,25.0
11,12836.00951,0,116,6.0,28,0.0,2,2,6889,37657.38000875848,6.0,28.0
12,4626.801093,79487,114,20.0,87,0.0,1,1,2529,79487.0,20.0,87.0
13,5326.677654,76717,66,26.0,10,0.0,6,2,3472,76717.0,26.0,10.0
14,2497.531509,0,69,5.0,74,0.0,1,1,442,37657.38000875848,5.0,74.0
15,2736.352663,17533,73,10.0,1,0.0,1,2,923,17533.0,10.0,1.0
16,3746.751625,41479,94,14.0,38,1.0,1,2,1832,41479.0,14.0,38.0
17,7247.313475,0,104,9.0,58,0.0,7,2,4808,37657.38000875848,9.0,58.0
18,6274.447705,13662,85,29.0,37,0.0,3,2,4289,13662.0,29.0,37.0
19,15031.5645,59456,189,11.0,7,0.0,8,1,7181,59456.0,11.0,7.0
20,2502.209885,0,74,26.0,95,1.0,1,2,455,37657.38000875848,26.0,95.0
21,9521.222806,27769,121,24.0,78,0.0,6,1,6283,27769.0,24.0,78.0
22,8869.619888,81350,110,1.0,28,0.0,9,2,6005,81350.0,1.0,28.0
23,4376.363592,63774,111,18.0,63,0.0,1,2,2296,63774.0,18.0,63.0
24,2926.886293,92381,72,24.0,27,0.0,1,2,1253,92381.0,24.0,27.0
25,24706.92011,26307,73,26.0,1,0.0,2,1,7748,26307.0,26.0,1.0
26,8491.465719,0,116,3.0,97,0.0,3,1,5757,37657.38000875848,3.0,97.0
27,9191.733549,23823,115,5.0,39,0.0,6,2,6155,23823.0,5.0,39.0
