,customer lifetime value,income,monthly premium auto,months since last claim,months since policy inception,number of open complaints,number of policies,total claim amount,month
0,4809.21696,48029,61,7.0,52,0.0,9,292.8,2
1,2228.525238,0,64,3.0,26,0.0,1,744.924331,1
2,14947.9173,22139,100,34.0,31,0.0,2,480.0,2
3,22332.43946,49078,97,10.0,3,0.0,2,484.013411,1
4,5035.035257,37405,63,8.0,99,3.0,4,287.556107,2
5,4956.247235,87197,63,35.0,45,0.0,3,247.402353,2
6,5989.773931,66839,154,33.0,24,0.0,1,739.2,1
7,17114.32815,70961,85,19.0,8,0.0,2,408.0,1
8,5154.764074,82730,127,13.0,31,0.0,1,442.521087,1
9,19955.25713,69096,99,24.0,32,0.0,2,64.669515,1
10,5454.587929,66334,69,25.0,25,0.0,4,331.2,1
11,12836.00951,0,116,6.0,28,0.0,2,835.2,2
12,4626.801093,79487,114,20.0,87,0.0,1,547.2,1
13,5326.677654,76717,66,26.0,10,0.0,6,300.528579,2
14,2497.531509,0,69,5.0,74,0.0,1,272.381465,1
15,2736.352663,17533,73,10.0,1,0.0,1,350.4,2
16,3746.751625,41479,94,14.0,38,1.0,1,19.575683,2
17,7247.313475,0,104,9.0,58,0.0,7,499.2,2
18,6274.447705,13662,85,29.0,37,0.0,3,408.0,2
19,15031.5645,59456,189,11.0,7,0.0,8,907.2,1
20,2502.209885,0,74,26.0,95,1.0,1,355.2,2
21,9521.222806,27769,121,24.0,78,0.0,6,123.15416,1
22,8869.619888,81350,110,1.0,28,0.0,9,228.185834,2
23,4376.363592,63774,111,18.0,63,0.0,1,60.036683,2
24,2926.886293,92381,72,24.0,27,0.0,1,234.774747,2
25,24706.92011,26307,73,26.0,1,0.0,2,313.192439,1
26,8491.465719,0,116,3.0,97,0.0,3,1193.115879,1
27,9191.733549,23823,115,5.0,39,0.0,6,567.48055,2
28,5776.338737,27510,159,5.0,28,3.0,1,871.457982,1
29,9115.57169,69588,114,19.0,45,0.0,6,173.080024,2
30,4163.04081,43276,104,16.0,11,0.0,1,499.2,2
31,5264.642009,0,72,30.0,26,0.0,8,135.888306,2
32,3945.241604,28855,101,12.0,59,0.0,1,647.442031,1
33,5176.730072,41533,65,2.0,46,0.0,9,232.879766,2
34,4492.23348,21137,61,29.0,62,1.0,6,292.8,1
35,8470.043225,0,82,1.0,13,0.0,2,479.312226,2
36,2880.348532,81565,71,19.0,54,0.0,1,190.642833,1
37,6182.618843,20072,82,35.0,51,0.0,9,473.266879,2
38,9799.175061,22166,126,10.0,22,0.0,6,604.8,1
39,5790.565333,84551,72,10.0,82,0.0,5,28.92584,2
40,5041.447024,61972,64,2.0,52,2.0,5,138.961963,1
41,5745.94334,57740,74,30.0,87,3.0,9,269.905129,1
42,4827.77681,0,68,29.0,91,0.0,6,326.4,1
43,7664.219255,60184,199,7.0,44,1.0,1,161.61574,1
44,3593.12645,18213,96,12.0,43,1.0,1,460.8,2
45,9863.502214,99654,121,13.0,95,0.0,3,272.788141,2
