,Unnamed: 0,customer lifetime value,income,monthly premium auto,months since last claim,months since policy inception,number of open complaints,number of policies,total claim amount,month
2,2,14947.9173,22139,100,34.0,31,0.0,2,480.0,2
3,3,22332.43946,49078,97,10.0,3,0.0,2,484.013411,1
10,10,5154.764074,82730,127,13.0,31,0.0,1,442.521087,1
13,13,5454.587929,66334,69,25.0,25,0.0,4,331.2,1
16,16,5326.677654,76717,66,26.0,10,0.0,6,300.528579,2
17,17,2497.531509,0,69,5.0,74,0.0,1,272.381465,1
18,18,2736.352663,17533,73,10.0,1,0.0,1,350.4,2
19,19,3746.751625,41479,94,14.0,38,1.0,1,19.575683,2
20,20,7247.313475,0,104,9.0,58,0.0,7,499.2,2
22,22,15031.5645,59456,189,11.0,7,0.0,8,907.2,1
24,24,2502.209885,0,74,26.0,95,1.0,1,355.2,2
25,25,9521.222806,27769,121,24.0,78,0.0,6,123.15416,1
26,26,8869.619888,81350,110,1.0,28,0.0,9,228.185834,2
28,28,2926.886293,92381,72,24.0,27,0.0,1,234.774747,2
30,30,8491.465719,0,116,3.0,97,0.0,3,1193.115879,1
32,32,5776.338737,27510,159,5.0,28,3.0,1,871.457982,1
39,39,8470.043225,0,82,1.0,13,0.0,2,479.312226,2
40,40,2880.348532,81565,71,19.0,54,0.0,1,190.642833,1
42,42,9799.175061,22166,126,10.0,22,0.0,6,604.8,1
43,43,5790.565333,84551,72,10.0,82,0.0,5,28.92584,2
45,45,5745.94334,57740,74,30.0,87,3.0,9,269.905129,1
48,48,3593.12645,18213,96,12.0,43,1.0,1,460.8,2
49,49,9863.502214,99654,121,13.0,95,0.0,3,272.788141,2
50,50,5111.304579,76448,63,9.0,13,0.0,3,302.4,2
55,55,19435.62924,38688,249,22.0,6,0.0,3,2294.631639,2
57,57,6870.607058,0,105,5.0,87,0.0,3,756.0,1
60,60,5651.396772,44634,71,16.0,99,1.0,9,396.035334,1
61,61,4556.068318,25617,63,22.0,3,0.0,3,302.4,2
64,64,5860.16743,94527,73,16.0,32,0.0,3,41.464402,2
66,66,4950.250892,27400,63,14.0,78,1.0,9,302.4,1
68,68,2224.089639,0,64,20.0,4,0.0,1,483.25721,1
69,69,2867.312197,23376,78,19.0,18,0.0,1,374.4,1
71,71,12157.5413,40432,77,21.0,66,0.0,2,369.6,1
78,78,14687.07959,0,85,3.0,61,0.0,2,612.0,2
80,80,7750.120323,22668,67,5.0,34,1.0,2,33.718553,2
82,82,2456.816127,0,73,15.0,59,0.0,1,525.6,2
85,85,32474.76977,71449,102,17.0,7,0.0,2,734.4,1
90,90,6941.872931,0,111,3.0,73,3.0,6,532.8,2
95,95,7294.492993,0,113,12.0,66,2.0,7,733.737214,2
98,98,3417.953745,72460,85,9.0,76,0.0,1,370.018108,1
101,101,4700.583771,76694,117,34.0,23,0.0,1,561.6,2
102,102,2471.528431,95697,61,16.0,55,0.0,1,114.273025,1
103,103,10130.93442,59232,85,6.0,75,0.0,2,408.0,1
105,105,23866.15656,0,81,27.0,93,1.0,2,388.8,2
110,110,9371.773682,66325,117,10.0,10,0.0,5,497.719213,2
113,113,5096.673223,22886,65,9.0,81,0.0,3,312.0,1
114,114,15563.36944,0,253,15.0,40,5.0,7,1214.4,1
115,115,7475.784971,29633,196,26.0,57,0.0,1,534.653787,1
117,117,5568.656492,51489,139,14.0,10,0.0,1,236.739322,2
118,118,20579.69157,0,69,5.0,26,0.0,2,566.673518,1
